frameNo	startTime	endTime	dialogue	chunk
-1	00:00:04,652	00:00:06,681	$﻿1$There was a raven$from King's Landing.	0
2	00:00:06,956	00:00:09,758	$<i>Jon Arryn is dead.</i>	0
3	00:00:09,793	00:00:11,727	$<i>The King rides</i>$<i>for Winterfell</i>	0
4	00:00:11,761	00:00:14,229	$<i>with the Queen</i>$<i>and all the rest of them.</i>	0
5	00:00:14,264	00:00:16,331	$<i>The Queen</i>$<i>has two brothers?</i>	0
6	00:00:16,366	00:00:19,701	$There's the pretty one,$and there's the clever one.	0
7	00:00:19,736	00:00:21,870	$I would name you$the Hand of the King.	0
8	00:00:21,905	00:00:23,639	$We were meant$to rule together.	0
9	00:00:23,673	00:00:28,143	$<i>I have a son, you have a daughter.</i>$<i>We'll join our houses.</i>	0
10	00:00:28,178	00:00:30,879	$The boy I beheaded--$he was talking madness.	0
11	00:00:30,914	00:00:32,948	$Said the others$slaughtered his friends.	0
12	00:00:32,982	00:00:35,551	$- Ned: A Wildling ambush.$- Maybe.	0
13	00:00:35,585	00:00:36,961	$You're Tyrion Lannister.	0
14	00:00:36,986	00:00:39,279	$You-- you're Ned Stark's$bastard, aren't you?	0
15	00:00:39,522	00:00:41,590	$Let me give you$some advice, bastard.	0
16	00:00:41,624	00:00:44,793	$Never forget what you are and it$can never be used to hurt you.	0
17	00:00:44,828	00:00:46,389	$It's a direwolf.	0
18	00:00:46,414	00:00:48,136	$There are no direwolves$south of the wall.	0
19	00:00:48,298	00:00:51,066	$Now there are five, one for$each of the Stark children.	0
20	00:00:51,101	00:00:53,168	$- What about you?$- I'm not a Stark.	0
21	00:00:53,203	00:00:56,004	$That one's yours, Snow.	0
22	00:00:56,039	00:00:59,641	$May I present Viserys$of House Targaryen,	0
23	00:00:59,676	00:01:01,376	$the rightful King$of the Andals,	0
24	00:01:01,411	00:01:03,645	$<i>and his sister Daenerys?</i>	0
25	00:01:03,680	00:01:06,582	$I don't want to be his queen.$I want to go home.	0
26	00:01:06,616	00:01:11,687	$<i>We go home with an army--</i>$<i>with Khal Drogo's army.</i>	0
27	00:01:11,721	00:01:13,075	$From your sister.	0
28	00:01:13,100	00:01:16,092	$She says Jon Arryn was$murdered by the Lannisters.	0
29	00:01:16,192	00:01:18,427	$She says the King$is in danger.	0
30	00:01:18,461	00:01:20,295	$What if Jon Arryn$told someone?	0
31	00:01:20,330	00:01:23,398	$Whatever Jon Arryn knew$died with him.	0
32	00:01:26,503	00:01:29,771	$The things I do for love.	0
33	00:01:38,619	00:01:42,619	$<font color=#00FF00>♪ Game of Thrones 1x02 ♪</font>$<font color=#00FFFF>The Kingsroad</font>$Original Air Date on April 24, 2011	0
34	00:01:42,620	00:01:46,120	"$== sync,corrected by <font color=""#00ff00"">elderman</font> =="	0
35	00:01:46,145	00:03:15,865	$♪ ♪	1
36	00:03:40,865	00:03:43,132	$You need to drink, child.	1
37	00:03:46,782	00:03:48,983	$And eat.	1
38	00:03:52,587	00:03:54,955	$Isn't there$anything else?	1
39	00:03:56,124	00:03:58,626	$The Dothraki have two things$in abundance:	1
40	00:03:58,660	00:04:02,430	$Grass and horses.$People can't live on grass.	2
41	00:04:11,440	00:04:14,108	$<i>In the Shadow Lands</i>$<i>beyond Asshai,</i>	2
42	00:04:14,142	00:04:16,510	$<i>they say there are</i>$<i>fields of ghost grass</i>	2
43	00:04:16,578	00:04:19,680	$with stalks as pale as milk$that glow in the night.	2
44	00:04:19,714	00:04:22,349	$It murders$all other grass.	2
45	00:04:22,384	00:04:24,852	$The Dothraki believe$that one day	2
46	00:04:24,920	00:04:28,122	$it will cover everything--$that's the way the world will end.	2
47	00:04:40,969	00:04:43,170	$It'll get easier.	2
48	00:05:21,276	00:05:21,308	$Khaleesi!	2
49	00:05:22,777	00:05:24,745	$Your hands.	2
50	00:05:35,290	00:05:37,925	$We're still not far$from Pentos, your Grace.	2
51	00:05:37,993	00:05:40,427	$Magister Illyrio has$extended his hospitality.	2
52	00:05:40,495	00:05:42,496	$You'd be more$comfortable there.	2
53	00:05:42,531	00:05:44,932	$I have no interest$in hospitality or comfort.	2
54	00:05:44,966	00:05:47,434	$I'll stay with Drogo$until he fulfills	2
55	00:05:47,469	00:05:49,770	$his end of the bargain$and I have my crown.	2
56	00:05:49,838	00:05:52,173	$As you wish, your Grace.	2
57	00:05:53,341	00:05:55,409	$Well, Mormont,$as brutish as this life is,	2
58	00:05:55,443	00:05:57,845	$I suppose it is preferable$to beheading.	2
59	00:05:59,381	00:06:01,615	$What did Ned Stark$want you for?	3
60	00:06:01,650	00:06:03,617	$Buying from a slaver?	3
61	00:06:03,685	00:06:06,453	$Selling to one--	3
62	00:06:06,521	00:06:08,956	$some poachers I caught$on my land.	3
63	00:06:10,559	00:06:13,694	$Under my reign, you won't be$punished for such nonsense.	3
64	00:06:13,728	00:06:16,063	$You can rest assured$of that.	3
65	00:06:40,822	00:06:43,657	$Better-looking bitches$than you're used to, Uncle.	3
66	00:06:47,596	00:06:50,197	$My mother's been$looking for you.	3
67	00:06:50,232	00:06:52,600	$We ride for$King's Landing today.	3
68	00:06:52,634	00:06:55,736	$Before you go, you will call$on Lord and Lady Stark	3
69	00:06:55,770	00:06:57,838	$and offer$your sympathies.	3
70	00:06:57,872	00:07:00,808	$What good will$my sympathies do them?	3
71	00:07:02,510	00:07:05,346	$None. But it is$expected of you.	3
72	00:07:05,380	00:07:07,481	$Your absence has$already been noted.	3
73	00:07:07,515	00:07:09,650	$The boy means$nothing to me.	3
74	00:07:09,684	00:07:12,119	$And I can't stand$the wailing of women.	3
75	00:07:14,289	00:07:16,190	$One word and I'll$hit you again.	3
76	00:07:16,224	00:07:17,992	$I'm telling mother!	3
77	00:07:18,860	00:07:21,462	$Go!$Tell her.	3
78	00:07:21,496	00:07:23,597	$But first you will get$to Lord and Lady Stark	3
79	00:07:23,632	00:07:25,633	$and you will fall on your knees$in front of them	3
80	00:07:25,667	00:07:28,502	$and tell them how very sorry you are,$that you are at their service,	3
81	00:07:28,536	00:07:32,006	$and that all your prayers are with them.$Do you understand?	3
82	00:07:32,040	00:07:34,208	$You can't--	3
83	00:07:34,242	00:07:35,809	$Do you understand?	3
84	00:07:42,617	00:07:44,785	$The prince will$remember that, little lord.	3
85	00:07:44,819	00:07:46,820	$I hope so.	3
86	00:07:46,855	00:07:50,357	$If he forgets, be a good dog$and remind him.	3
87	00:07:53,094	00:07:56,230	$Ah.$Time for breakfast.	3
88	00:08:03,271	00:08:06,407	$Bread.$And two of those little fish.	4
89	00:08:06,474	00:08:09,877	$And a mug of dark beer$to wash it down.	4
90	00:08:12,447	00:08:14,515	$And bacon,$burned black.	4
91	00:08:14,549	00:08:16,517	$Hyah.	4
92	00:08:16,551	00:08:19,553	$- Little brother.$- Beloved siblings.	4
93	00:08:23,925	00:08:25,926	$Is Bran going to die?	4
94	00:08:27,729	00:08:29,830	$Apparently not.	4
95	00:08:32,000	00:08:35,602	$- What do you mean?$- The Maester says the boy may live.	4
96	00:08:43,678	00:08:46,747	$It's no mercy, letting a child$linger in such pain.	4
97	00:08:46,781	00:08:48,549	$Only the gods$know for certain.	4
98	00:08:48,583	00:08:51,118	$All the rest of us$can do is pray.	4
99	00:08:52,554	00:08:55,122	$The charms of the north$seem entirely lost on you.	4
100	00:08:55,156	00:08:57,091	$I still can't believe$you're going.	4
101	00:08:57,125	00:08:59,126	$It's ridiculous$even for you.	4
102	00:08:59,160	00:09:00,894	$Where's your sense$of wonder?	4
103	00:09:00,929	00:09:05,132	$The greatest structure ever built,$the intrepid men of The Night's Watch,	4
104	00:09:05,200	00:09:07,735	$the wintry abode$of the White Walkers.	4
105	00:09:07,769	00:09:10,704	$Tell me you're not thinking$of taking the black.	4
106	00:09:10,739	00:09:13,640	$And go celibate?$The whores would go begging	4
107	00:09:13,675	00:09:15,776	$from Dorne to Casterly Rock.	4
108	00:09:15,810	00:09:17,778	$No, I just want to stand$on top of the wall	4
109	00:09:17,812	00:09:19,913	$and piss off$the edge of the world.	4
110	00:09:21,316	00:09:23,984	$The children don't need$to hear your filth.	4
111	00:09:25,820	00:09:27,654	$Come.	4
112	00:09:33,762	00:09:37,175	$Even if the boy lives,$he'll be a cripple, a grotesque.	4
113	00:09:37,176	00:09:40,362	$Give me a good$clean death any day.	4
114	00:09:41,569	00:09:44,838	$Speaking for the grotesques,$I'd have to disagree.	4
115	00:09:44,906	00:09:48,108	$Death is so final,$whereas life...	4
116	00:09:48,143	00:09:50,144	$Ah, life is full$of possibilities.	4
117	00:09:51,546	00:09:53,046	$I hope the boy does wake.	4
118	00:09:53,081	00:09:55,682	$I'd be very interested$to hear what he has to say.	4
119	00:09:58,186	00:10:00,053	$My dear brother,	5
120	00:10:00,088	00:10:02,756	$there are times you make me$wonder whose side you're on.	5
121	00:10:02,791	00:10:05,125	$<i>My</i> dear brother,$you wound me.	5
122	00:10:05,160	00:10:07,728	$You know how much$I love my family.	5
123	00:10:26,948	00:10:28,182	$Please.	5
124	00:10:28,216	00:10:31,618	$Oh, I would have$dressed, your Grace.	5
125	00:10:31,653	00:10:34,121	$This is your home.$I'm your guest.	5
126	00:10:37,292	00:10:39,326	$Handsome one, isn't he?	5
127	00:10:39,360	00:10:44,164	$I lost my first boy,$a little black-haired beauty.	5
128	00:10:44,199	00:10:47,301	$He was a fighter too--	5
129	00:10:47,335	00:10:50,671	$tried to beat the fever$that took him.	5
130	00:10:50,738	00:10:52,973	$Forgive me.	5
131	00:10:53,007	00:10:55,008	$It's the last thing you$need to hear right now.	5
132	00:10:55,043	00:10:57,277	$I never knew.	5
133	00:10:57,312	00:10:59,146	$It was years ago.	5
134	00:11:00,715	00:11:03,684	$Robert was crazed, beat$his hands bloody on the wall,	5
135	00:11:03,751	00:11:07,588	$all the things men do to show$you how much they care.	5
136	00:11:12,460	00:11:14,661	$The boy looked$just like him.	5
137	00:11:16,331	00:11:19,032	$Such a little thing...	5
138	00:11:19,100	00:11:21,935	$A bird without feathers.	5
139	00:11:24,105	00:11:28,942	$They came to take his body away$and Robert held me.	5
140	00:11:28,943	00:11:31,076	$I screamed and I battled,$but he held me.	5
141	00:11:36,317	00:11:38,318	$That little bundle.	5
142	00:11:40,121	00:11:42,589	$They took him away$and I never saw him again.	5
143	00:11:42,624	00:11:44,958	$Never have visited$the crypt, never.	5
144	00:11:55,570	00:11:57,604	$I pray to the mother$every morning and night	5
145	00:11:57,639	00:11:59,873	$that she return$your child to you.	5
146	00:12:01,843	00:12:03,544	$I am grateful.	6
147	00:12:03,578	00:12:06,647	$Perhaps this time$she'll listen.	6
148	00:12:57,699	00:12:59,733	$A sword for the wall?	6
149	00:13:01,869	00:13:04,471	$- I already have one.$- Good man.	6
150	00:13:04,505	00:13:07,708	$- Have you swung it yet?$- Of course I have.	6
151	00:13:07,742	00:13:09,376	$At someone, I mean.	6
152	00:13:13,948	00:13:17,050	$It's a strange thing,$the first time you cut a man.	6
153	00:13:17,085	00:13:20,253	$You realize we're nothing$but sacks of meat	6
154	00:13:20,288	00:13:23,724	$and blood and some bone$to keep it all standing.	6
155	00:13:25,927	00:13:28,095	$Let me thank you$ahead of time	6
156	00:13:28,129	00:13:30,964	$for guarding us all from$the perils beyond the wall--	6
157	00:13:30,999	00:13:33,600	$Wildlings and White Walkers$and whatnot.	6
158	00:13:35,737	00:13:37,371	$We're grateful to have	6
159	00:13:37,405	00:13:39,773	$good, strong men like you$protecting us.	6
160	00:13:42,310	00:13:45,078	$We've guarded the kingdoms$for 8,000 years.	6
161	00:13:47,749	00:13:50,283	"$Is it ""we"" already?"	6
162	00:13:51,819	00:13:53,487	$Have you taken$your vows then?	6
163	00:13:53,521	00:13:54,788	$Soon enough.	6
164	00:13:57,091	00:13:59,359	$Give my regards$to The Night's Watch.	6
165	00:13:59,394	00:14:02,829	$I'm sure it will be thrilling$to serve in such an elite force.	7
166	00:14:02,864	00:14:04,798	$And if not?	7
167	00:14:04,832	00:14:07,701	$It's only for life.	7
168	00:14:26,387	00:14:28,455	$Thank you, Nymeria.	7
169	00:14:35,163	00:14:38,131	$Septa Mordane says$I have to do it again.	7
170	00:14:38,166	00:14:40,801	$My things weren't$properly folded, she says.	7
171	00:14:40,835	00:14:42,574	$Who cares how they're folded?!	7
172	00:14:42,575	00:14:44,000	$They're going to get all$messed up anyway.	7
173	00:14:45,207	00:14:46,373	$It's good$you've got help.	7
174	00:14:46,374	00:14:48,208	$Watch.	7
175	00:14:48,242	00:14:50,143	$Nymeria, gloves.	7
176	00:14:56,250	00:14:58,251	$- Impressive.$- Shut up.	7
177	00:14:58,286	00:15:00,887	$Nymeria, gloves!	7
178	00:15:02,223	00:15:04,758	$I have something for you.	7
179	00:15:04,792	00:15:07,127	$And it has to be packed$very carefully.	7
180	00:15:07,161	00:15:08,962	$A present?	7
181	00:15:08,996	00:15:11,098	$Close the door.	7
182	00:15:23,478	00:15:25,946	$This is no toy.	7
183	00:15:28,583	00:15:31,451	$Be careful you don't$cut yourself.	7
184	00:15:34,188	00:15:36,356	$- It's so skinny.$- So are you.	7
185	00:15:37,592	00:15:39,459	$I had the blacksmith$make it for you special.	7
186	00:15:39,494	00:15:40,961	$<i>It won't hack</i>$<i>a man's head off,</i>	7
187	00:15:40,995	00:15:43,130	$but it can poke him full$of holes if you're quick enough.	7
188	00:15:43,164	00:15:44,201	$I can be quick.	7
189	00:15:44,226	00:15:45,922	$You'll have to work$at it every day.	7
190	00:15:47,101	00:15:48,535	$How does it feel?	7
191	00:15:48,569	00:15:51,238	$Do you like$the balance?	7
192	00:15:51,272	00:15:53,440	$I think so.	7
193	00:15:54,809	00:15:57,277	$First lesson: Stick them$with the pointy end.	7
194	00:15:57,311	00:15:59,346	$I know which end to use.	7
195	00:16:04,819	00:16:06,887	$I'm going to miss you.	8
196	00:16:08,456	00:16:09,890	$Careful.	8
197	00:16:21,102	00:16:24,037	$All the best swords$have names, you know.	8
198	00:16:26,774	00:16:29,409	$Sansa can keep$her sewing needles.	8
199	00:16:30,878	00:16:33,013	$I've got a needle$of my own.	8
200	00:16:47,728	00:16:49,830	$I came to say$goodbye to Bran.	8
201	00:16:49,864	00:16:51,598	$You've said it.	8
202	00:17:02,310	00:17:05,345	$I wish I could be here$when you wake up.	8
203	00:17:08,316	00:17:10,851	$I'm going north$with Uncle Benjen.	8
204	00:17:10,885	00:17:12,652	$I'm taking the black.	8
205	00:17:21,562	00:17:24,297	$I know we always talked about$seeing the wall together,	8
206	00:17:24,332	00:17:28,201	$but you'll be able to come visit me$at Castle Black when you're better.	8
207	00:17:30,037	00:17:32,372	$I'll know my way$around by then.	8
208	00:17:32,406	00:17:35,175	$I'll be a sworn brother$of The Night's Watch.	8
209	00:17:40,248	00:17:43,283	$We can go out walking beyond the wall,$if you're not afraid.	8
210	00:17:57,899	00:18:00,133	$I want you	9
211	00:18:00,201	00:18:01,801	$to leave.	9
212	00:19:02,129	00:19:04,297	$17 years ago	9
213	00:19:04,332	00:19:06,499	$you rode off$with Robert Baratheon.	9
214	00:19:08,703	00:19:12,038	$You came back a year later with$another woman's son.	9
215	00:19:13,507	00:19:16,209	$And now$you're leaving again.	9
216	00:19:18,879	00:19:20,647	$I have no choice.	9
217	00:19:20,681	00:19:24,551	$That's what men always say$when honor calls.	9
218	00:19:24,585	00:19:28,154	$That's what you tell your families,$tell yourselves.	9
219	00:19:29,724	00:19:32,058	$You do have a choice.	9
220	00:19:32,093	00:19:34,861	$And you've made it.	9
221	00:19:37,999	00:19:40,033	$Cat--	9
222	00:19:45,706	00:19:48,408	$I can't do it, Ned.	9
223	00:19:51,379	00:19:54,581	$- I really can't.$- You can.	9
224	00:19:56,884	00:19:58,685	$You must.	9
225	00:20:22,109	00:20:24,644	$You've said$goodbye to Bran?	10
226	00:20:24,678	00:20:27,113	$He's not going to die.$I know it.	10
227	00:20:27,148	00:20:29,449	$You Starks$are hard to kill.	10
228	00:20:30,351	00:20:32,052	$My mother?	10
229	00:20:32,086	00:20:34,554	$- She was very kind.$- Good.	10
230	00:20:36,290	00:20:38,558	$Next time I see you,$you'll be all in black.	10
231	00:20:38,592	00:20:40,760	$It was always my color.	10
232	00:20:41,962	00:20:45,098	$- Farewell, Snow.$- And you, Stark.	10
233	00:21:37,551	00:21:40,086	$There's great honor serving$in The Night's Watch.	10
234	00:21:42,123	00:21:45,558	$<i>The Starks have manned the wall</i>$<i>for thousands of years.</i>	10
235	00:21:45,593	00:21:48,561	$And you are a Stark.	10
236	00:21:48,596	00:21:50,830	$You might not have my name,	10
237	00:21:50,898	00:21:52,999	$but you have my blood.	10
238	00:21:59,340	00:22:01,741	$Is my mother alive?	11
239	00:22:01,775	00:22:04,978	$Does she know about me?$Where I am, where I'm going?	11
240	00:22:06,580	00:22:08,681	$Does she care?	11
241	00:22:09,850	00:22:12,152	$The next time$we see each other,	11
242	00:22:12,186	00:22:14,521	$we'll talk$about your mother.	11
243	00:22:14,555	00:22:16,422	$Huh?	11
244	00:22:16,457	00:22:18,525	$I promise.	11
245	00:22:58,132	00:23:01,134	$Gods, this is country!	11
246	00:23:02,903	00:23:06,472	$I've half a mind to leave them$all behind and keep going.	11
247	00:23:08,609	00:23:10,910	$I've half a mind$to go with you.	11
248	00:23:10,945	00:23:12,979	$What do you say,$just you and me	11
249	00:23:13,013	00:23:15,548	$on the Kingsroad,$swords at our sides,	11
250	00:23:15,583	00:23:19,152	$a couple of tavern wenches$to warm our beds tonight.	11
251	00:23:19,186	00:23:21,854	$You should have$asked me 20 years ago.	11
252	00:23:21,889	00:23:24,757	$There were wars to fight,$women to marry--	11
253	00:23:24,792	00:23:26,859	$we never had the chance$to be young.	11
254	00:23:26,894	00:23:28,895	$I recall$a few chances.	11
255	00:23:32,766	00:23:35,435	$There was that one...$Oh, what was her name?	11
256	00:23:35,469	00:23:37,437	$That common girl of yours?	11
257	00:23:37,471	00:23:40,273	$Becca? With the great big tits$you could bury your face in.	11
258	00:23:40,341	00:23:42,642	$Bessie.$She was one of yours.	11
259	00:23:42,676	00:23:46,312	$Bessie!$Thank the gods for Bessie	11
260	00:23:46,347	00:23:49,182	$and her tits.	11
261	00:23:49,216	00:23:51,618	$Yours was... Aleena?	11
262	00:23:51,652	00:23:54,721	$No. You told me once.$Meryl?	11
263	00:23:54,755	00:23:56,789	$Your bastard's mother?	11
264	00:23:58,425	00:24:00,693	$- Wylla.$- <i>That's it.</i>	12
265	00:24:00,728	00:24:02,895	$<i>She must have been</i>$<i>a rare wench</i>	12
266	00:24:02,930	00:24:05,765	$to make Lord Eddard Stark$forget his honor.	12
267	00:24:05,799	00:24:08,034	$You never told me$what she looked like.	12
268	00:24:08,068	00:24:10,436	$Nor will I.	12
269	00:24:12,906	00:24:14,774	$We were at war.	12
270	00:24:14,808	00:24:17,477	$<i>None of us knew if we were</i>$<i>gonna go back home again.</i>	12
271	00:24:17,511	00:24:20,980	$You're too hard on yourself.$You always have been.	12
272	00:24:22,883	00:24:26,085	$I swear if I weren't your King,$you'd have hit me already.	12
273	00:24:26,120	00:24:29,155	$The worst thing$about your coronation--	12
274	00:24:29,223	00:24:31,758	$I'll never get$to hit you again.	12
275	00:24:33,927	00:24:36,496	$Trust me, that's not$the worst thing.	12
276	00:24:40,467	00:24:42,502	$There was a rider$in the night.	12
277	00:24:48,575	00:24:52,078	$Daenerys Targaryen has wed$some Dothraki horselord.	12
278	00:24:52,112	00:24:54,781	$What of it?$Should we send her a wedding gift?	12
279	00:24:54,815	00:24:56,516	$A knife perhaps,$a good sharp one,	12
280	00:24:56,550	00:24:58,484	$and a bold man to wield it.	12
281	00:24:58,552	00:25:00,486	$She's little more$than a child.	12
282	00:25:00,521	00:25:03,756	$Soon enough that child will spread$her legs and start breeding.	12
283	00:25:03,791	00:25:07,460	$- Tell me we're not speaking of this.$- Oh, it's unspeakable to you?	12
284	00:25:07,494	00:25:11,364	$<i>What her father did to your family--</i>$<i>that was unspeakable.</i>	12
285	00:25:11,398	00:25:13,466	$What Rhaegar Targaryen$did to your sister--	12
286	00:25:13,500	00:25:15,635	$<i>the woman I loved.</i>	12
287	00:25:15,669	00:25:18,938	$I'll kill every Targaryen$I get my hands on.	12
288	00:25:18,972	00:25:21,174	$But you can't get$your hands on this one, can you?	12
289	00:25:21,208	00:25:23,142	$This Khal Drogo,	12
290	00:25:23,177	00:25:25,511	$it's said he has 100,000 men$in his horde.	12
291	00:25:25,546	00:25:28,314	$Even a million Dothraki$are no threat to the realm,	12
292	00:25:28,349	00:25:31,150	$as long as they remain on the$other side of the Narrow Sea.	12
293	00:25:31,185	00:25:33,152	$They have no ships,$Robert.	12
294	00:25:33,187	00:25:36,356	$There are still those in the$Seven Kingdoms who call me usurper.	12
295	00:25:37,891	00:25:41,160	$If the Targaryen boy crosses$with a Dothraki horde at his back,	12
296	00:25:41,195	00:25:43,996	$- the scum will join him.$- He will not cross.	12
297	00:25:45,699	00:25:48,868	$And if by chance he does,$we'll throw him back into the sea.	12
298	00:25:53,640	00:25:55,742	$There's a war coming, Ned.	12
299	00:25:55,776	00:25:57,610	$<i>I don't know when,</i>	12
