anger	death	family	home	humans	negative_affect	positive_affect	religion	sexual	swear	chunk
{}	{'stood': 1}	{'family': 1}	{'family': 1}	{'myself': 1}	{}	{'hugh': 1, 'had': 1, 'have': 1, 'luck': 1}	{}	{'hugh': 1, 'else': 1}	{}	0
{'fought': 1, 'cut': 1, 'mad': 1}	{'modest': 1, 'good': 1}	{'king': 1, 'mad': 1, 'matters': 1, 'sisters': 1, 'many': 1, 'man': 2}	{'trident': 1}	{'many': 1, 'man': 2}	{'mad': 1}	{'great': 1, 'good': 1, 'best': 1, 'that': 1, 'fine': 1, 'what': 1, 'glad': 1}	{'dozen': 1}	{'who': 2, 'holds': 1}	{}	1
{'made': 1}	{'today': 1}	{'small': 1, 'king': 3, 'made': 1, 'mother': 1, 'man': 1}	{}	{'man': 1}	{'idiot': 1, 'made': 1}	{'what': 2, 'won': 1, 'look': 1, 'that': 3, 'perhaps': 1, 'happen': 1, 'grace': 1}	{}	{'ass': 1, 'how': 2, 'whore': 1}	{'ass': 1}	2
{'cowards': 1}	{'cowards': 1, 'somebody': 1, 'anybody': 1}	{'king': 2, 'maybe': 1, 'kingdoms': 1, 'man': 2}	{}	{'boy': 1, 'men': 1, 'man': 2}	{'cowards': 1, 'business': 1, 'saddle': 1}	{'funny': 1, 'like': 1, 'that': 3, 'joke': 1, 'hand': 2, 'have': 2, 'win': 1, 'grace': 1}	{'business': 1}	{'how': 2, 'who': 2, 'those': 1, 'should': 1}	{}	3
{'whatever': 1}	{'gods': 1, 'good': 1, 'blood': 1, 'bloody': 1}	{'king': 2, 'commands': 1, 'insisted': 1, 'make': 1, 'match': 1}	{}	{'boy': 1, 'commands': 1}	{'idiot': 1}	{'have': 1, 'good': 1, 'thank': 1, 'whatever': 1, 'what': 1}	{}	{'thought': 1, 'thirsty': 1, 'else': 1}	{'bloody': 1}	4
{}	{}	{'lessons': 1, 'king': 1}	{}	{}	{}	{'thank': 1}	{}	{}	{}	5
{}	{'die': 1}	{}	{}	{'girl': 1}	{}	{'what': 1, 'that': 1, 'wine': 1}	{'dozen': 1}	{'houses': 1}	{}	6
{}	{}	{'mare': 1}	{}	{}	{}	{'shame': 1, 'having': 1, 'have': 2, 'that': 1}	{}	{'bit': 1, 'honor': 2}	{}	7
{}	{}	{}	{}	{}	{}	{}	{}	{}	{}	8
{'madness': 1}	{'hood': 1}	{'king': 1, 'madness': 1}	{}	{}	{'madness': 1}	{'that': 1}	{}	{'hood': 1}	{}	9
