frameNo	startTime	endTime	dialogue	chunk
-1	00:02:00,031	00:02:02,400	$﻿5$It's got to be the Mountain.$He's the biggest.	2
6	00:02:02,434	00:02:04,802	$- He's the strongest.$- Bulls are bigger than lions.	2
7	00:02:04,836	00:02:06,704	$Doesn't mean I'd pick$a bull in a fight.	2
8	00:02:06,738	00:02:09,840	$If the bull had fangs$and claws, I would.	2
9	00:02:09,875	00:02:13,577	$Right, the Mountain$or our man Jaime.	2
10	00:02:13,611	00:02:16,113	$If he ever gets out.	2
11	00:02:16,148	00:02:17,748	$Loras Tyrell?	2
12	00:02:17,783	00:02:20,952	$Loras Tyrell.$He's prettier than the queen.	2
13	00:02:20,987	00:02:22,527	$I don't care about pretty.	2
14	00:02:22,552	00:02:24,022	$He's better with a sword$than any of them.	2
15	00:02:24,024	00:02:26,325	$How good could he be?	3
16	00:02:26,359	00:02:28,794	$He's been stabbing$Renly Baratheon for years,	3
17	00:02:28,829	00:02:31,397	$and Renly ain't dead.	3
18	00:02:39,807	00:02:42,175	$The horses seem$a little spooked to you?	3
19	00:02:42,209	00:02:44,110	$They're horses.	3
20	00:02:44,145	00:02:46,246	$They get spooked$by their own shadows.	3
21	00:02:46,280	00:02:50,383	$Shh.	3
22	00:02:50,417	00:02:52,485	$Do you hear that?	3
23	00:02:53,621	00:02:55,321	$No.	3
24	00:02:55,356	00:02:57,057	$There's something$out there.	3
25	00:03:19,814	00:03:22,616	$Oh.	4
26	00:03:22,651	00:03:25,052	$Oh, you're a right$little prick.	4
27	00:03:25,086	00:03:26,754	$You should see$your face.	4
28	00:03:26,788	00:03:29,190	$I swear you$pissed yourself.	4
29	00:03:29,224	00:03:31,258	"$""Oh, who goes there?$Ahh!"""	4
30	00:03:31,293	00:03:33,193	$There is something out there.	4
31	00:03:33,228	00:03:35,596	$Yeah, don't even try me.	4
32	00:03:35,630	00:03:37,865	$- Rennick.$- Do you think I'm an idiot?	4
33	00:03:39,200	00:03:41,501	$Rennick!	4
34	00:03:47,375	00:03:50,978	$<i>- King in the North!</i>$<i>- The King in the North!</i>	4
35	00:04:11,366	00:04:13,733	$<i>Five Lannisters dead</i>$<i>for every one of ours.</i>	5
36	00:04:13,768	00:04:15,302	$They're dead.$Take everything they've got.	5
37	00:04:15,336	00:04:17,470	$<i>We've nowhere to keep</i>$<i>all these prisoners.</i>	5
38	00:04:17,505	00:04:20,006	$Barely enough food$to feed our own.	5
39	00:04:20,040	00:04:22,141	$We're not executing$prisoners, Lord Bolton.	5
40	00:04:22,175	00:04:23,742	$Of course, Your Grace.	5
41	00:04:23,777	00:04:26,545	$The officers$will be useful.	5
42	00:04:26,579	00:04:29,714	$Some of them may be privy$to Tywin Lannister's plans.	5
43	00:04:29,748	00:04:31,483	$I doubt it.	5
44	00:04:31,517	00:04:33,418	$<i>Well, we'll learn</i>$<i>soon enough.</i>	5
45	00:04:33,453	00:04:37,356	"$In my family we say,$""A naked man has few secrets."	5
46	00:04:37,391	00:04:39,292	"$A flayed man none."""	5
47	00:04:39,326	00:04:41,294	$My father outlawed$flaying in the North.	5
48	00:04:41,328	00:04:44,531	$- We're not in the North.$- We're not torturing them.	5
49	00:04:44,565	00:04:46,500	$The high road's very pretty,	5
50	00:04:46,534	00:04:49,302	$but you'll have a hard time$marching your army down it.	6
51	00:04:49,370	00:04:52,105	$The Lannisters hold$prisoners of their own.	6
