frameNo	startTime	endTime	dialogue	chunk
-1	00:02:00,031	00:02:02,400	$﻿5$It's got to be the Mountain.$He's the biggest.	1
6	00:02:02,434	00:02:04,802	$- He's the strongest.$- Bulls are bigger than lions.	1
7	00:02:04,836	00:02:06,704	$Doesn't mean I'd pick$a bull in a fight.	1
8	00:02:06,738	00:02:09,840	$If the bull had fangs$and claws, I would.	1
9	00:02:09,875	00:02:13,577	$Right, the Mountain$or our man Jaime.	1
10	00:02:13,611	00:02:16,113	$If he ever gets out.	1
11	00:02:16,148	00:02:17,748	$Loras Tyrell?	1
12	00:02:17,783	00:02:20,952	$Loras Tyrell.$He's prettier than the queen.	1
13	00:02:20,987	00:02:22,527	$I don't care about pretty.	1
14	00:02:22,552	00:02:24,022	$He's better with a sword$than any of them.	1
15	00:02:24,024	00:02:26,325	$How good could he be?	1
16	00:02:26,359	00:02:28,794	$He's been stabbing$Renly Baratheon for years,	1
17	00:02:28,829	00:02:31,397	$and Renly ain't dead.	1
18	00:02:39,807	00:02:42,175	$The horses seem$a little spooked to you?	1
19	00:02:42,209	00:02:44,110	$They're horses.	1
20	00:02:44,145	00:02:46,246	$They get spooked$by their own shadows.	1
21	00:02:46,280	00:02:50,383	$Shh.	1
22	00:02:50,417	00:02:52,485	$Do you hear that?	1
23	00:02:53,621	00:02:55,321	$No.	1
24	00:02:55,356	00:02:57,057	$There's something$out there.	1
25	00:03:19,814	00:03:22,616	$Oh.	1
26	00:03:22,651	00:03:25,052	$Oh, you're a right$little prick.	1
27	00:03:25,086	00:03:26,754	$You should see$your face.	1
28	00:03:26,788	00:03:29,190	$I swear you$pissed yourself.	1
29	00:03:29,224	00:03:31,258	"$""Oh, who goes there?$Ahh!"""	1
30	00:03:31,293	00:03:33,193	$There is something out there.	1
31	00:03:33,228	00:03:35,596	$Yeah, don't even try me.	1
32	00:03:35,630	00:03:37,865	$- Rennick.$- Do you think I'm an idiot?	1
33	00:03:39,200	00:03:41,501	$Rennick!	1
34	00:03:47,375	00:03:50,978	$<i>- King in the North!</i>$<i>- The King in the North!</i>	1
35	00:04:11,366	00:04:13,733	$<i>Five Lannisters dead</i>$<i>for every one of ours.</i>	2
36	00:04:13,768	00:04:15,302	$They're dead.$Take everything they've got.	2
37	00:04:15,336	00:04:17,470	$<i>We've nowhere to keep</i>$<i>all these prisoners.</i>	2
38	00:04:17,505	00:04:20,006	$Barely enough food$to feed our own.	2
39	00:04:20,040	00:04:22,141	$We're not executing$prisoners, Lord Bolton.	2
40	00:04:22,175	00:04:23,742	$Of course, Your Grace.	2
41	00:04:23,777	00:04:26,545	$The officers$will be useful.	2
42	00:04:26,579	00:04:29,714	$Some of them may be privy$to Tywin Lannister's plans.	2
43	00:04:29,748	00:04:31,483	$I doubt it.	2
44	00:04:31,517	00:04:33,418	$<i>Well, we'll learn</i>$<i>soon enough.</i>	2
45	00:04:33,453	00:04:37,356	"$In my family we say,$""A naked man has few secrets."	2
46	00:04:37,391	00:04:39,292	"$A flayed man none."""	2
47	00:04:39,326	00:04:41,294	$My father outlawed$flaying in the North.	2
48	00:04:41,328	00:04:44,531	$- We're not in the North.$- We're not torturing them.	2
49	00:04:44,565	00:04:46,500	$The high road's very pretty,	2
50	00:04:46,534	00:04:49,302	$but you'll have a hard time$marching your army down it.	2
51	00:04:49,370	00:04:52,105	$The Lannisters hold$prisoners of their own.	2
52	00:04:52,140	00:04:55,308	$I won't give them an excuse$to abuse my sisters.	2
53	00:04:55,343	00:04:57,444	$<i>No, no, don't! Don't!</i>	2
54	00:04:57,478	00:04:59,179	$<i>- Shh, shh.</i>$<i>- Please!</i>	2
55	00:04:59,213	00:05:01,814	$Shh.	2
56	00:05:03,450	00:05:05,450	$The rot's set in.	2
57	00:05:05,485	00:05:07,953	$No, don't!$No, don't!	2
58	00:05:07,987	00:05:10,689	$- Shh.$- Please, don't!	2
